time,r,dr/dt,theta,dtheta/dt
0.0,147100000000.0,0.0,0.0,2.0591434398368456e-07
7200.822011645165,147100002647.99725,0.7354706877465773,0.0014827525228768607,2.0591433657021612e-07
14401.64402329033,147100010591.983,1.4709397055633329,0.002965504938987655,2.0591431432983002e-07
21602.466034935496,147100023831.93924,2.2064053835234327,0.004448257141566466,2.05914277262584e-07
28803.28804658066,147100042367.8359,2.94186605171277,0.005931009023848121,2.059142253685742e-07
36004.11005822582,147100066199.63086,3.6773200404195356,0.00741376047907994,2.059141586479353e-07
43204.93206987099,147100095327.26993,4.412765680467849,0.008896511400542676,2.059140771008405e-07
50405.754081516156,147100129750.68698,5.148201301744735,0.010379261681459098,2.059139807275014e-07
57606.57609316132,147100169469.8039,5.883625234106962,0.01186201121504977,2.059138695281681e-07
64807.39810480648,147100214484.53046,6.619035807505669,0.013344759894540745,2.0591374350312907e-07
72008.22011645164,147100264794.76453,7.354431351986358,0.014827507613163562,2.0591360265271127e-07
79209.04212809681,147100320400.39188,8.089810197688909,0.016310254264155267,2.059134469772801e-07
86409.86413974199,147100381301.28625,8.825170674847568,0.017792999740758386,2.0591327647723943e-07
93610.68615138714,147100447497.30942,9.560511113790946,0.01927574393622094,2.059130911530316e-07
100811.50816303231,147100518988.31107,10.295829844942034,0.020758486743796444,2.0591289100513733e-07
108012.33017467747,147100595774.1289,11.031125198818183,0.022241228056743906,2.059126760340759e-07
115213.15218632264,147100677854.58862,11.766395506031119,0.02372396776832783,2.0591244624040497e-07
122413.97419796781,147100765229.50385,12.501639097286938,0.025206705771818202,2.059122016247207e-07
129614.79620961296,147100857898.6762,13.236854303386103,0.026689441960490504,2.059119421876576e-07
136815.61822125813,147100955861.8953,13.972039455223449,0.028172176227625717,2.059116679298888e-07
144016.4402329033,147101059118.93875,14.70719288378818,0.029654908466510317,2.0591137885212572e-07
151217.26224454847,147101167669.57205,15.442312920163868,0.031137638570436242,2.0591107495511838e-07
158418.08425619363,147101281513.5488,16.177397895528454,0.03262036643270096,2.0591075623965512e-07
165618.90626783879,147101400650.61047,16.912446141154255,0.03410309194660742,2.0591042270656282e-07
172819.72827948397,147101525080.48657,17.647455988407952,0.035585815005464067,2.059100743567068e-07
180020.55029112913,147101654802.89456,18.3824257687506,0.037068535502584814,2.0590971119099082e-07
187221.37230277428,147101789817.5399,19.117353813737623,0.03855125333128909,2.059093332103571e-07
194422.19431441944,147101930124.116,19.8522384550188,0.040033968384901815,2.0590894041578628e-07
201623.01632606462,147102075722.30423,20.587078024338307,0.041516680556753394,2.059085328082975e-07
208823.83833770978,147102226611.77402,21.321870853534673,0.04299938974017971,2.0590811038894837e-07
216024.66034935493,147102382792.18268,22.056615274540793,0.04448209582852219,2.0590767315883488e-07
223225.48236100012,147102544263.1757,22.791309620177366,0.04596479871517548,2.0590722111909087e-07
230426.30437264527,147102711024.38675,23.525952225171434,0.04744749829364775,2.059067542708871e-07
237627.12638429043,147102883075.4372,24.26054142142649,0.04893019445727554,2.05906272615435e-07
244827.94839593561,147103060415.93634,24.995075540813477,0.05041288709939277,2.0590577615398453e-07
252028.77040758077,147103243045.48148,25.729552915457358,0.051895576113347955,2.0590526488782398e-07
259229.59241922593,147103430963.6579,26.463971877737098,0.05337826139250433,2.059047388182799e-07
266430.4144308711,147103624170.039,27.198330760285664,0.05486094283023973,2.059041979467171e-07
273631.23644251627,147103822664.1861,27.932627895990038,0.05634362031994668,2.059036422745387e-07
280832.05845416145,147104026445.64856,28.666861617991188,0.05782629375503234,2.059030718031861e-07
288032.8804658066,147104235513.96375,29.401030259684095,0.05930896302891854,2.0590248653413906e-07
295233.70247745176,147104449868.6571,30.135132154717763,0.06079162803504175,2.0590188646891545e-07
302434.52448909695,147104669509.24197,30.869165636995174,0.06227428866685309,2.0590127160907163e-07
309635.3465007421,147104894435.21982,31.603129040673327,0.06375694481781835,2.0590064195620208e-07
316836.16851238726,147105124646.08005,32.33702070016323,0.06523959638141799,2.0589999751193967e-07
324036.99052403244,147105360141.30014,33.0708389501299,0.06672224325114709,2.0589933827795555e-07
331237.81253567757,147105600920.34552,33.80458212549233,0.06820488532051537,2.0589866425595907e-07
338438.63454732276,147105846982.66968,34.538248561423565,0.06968752248304727,2.0589797544769794e-07
345639.45655896794,147106098327.7141,35.27183659335061,0.07117015463228185,2.0589727185495817e-07
352840.27857061307,147106354954.90833,36.0053445569545,0.07265278166177279,2.05896553479564e-07
360041.10058225825,147106616863.66986,36.73877078817027,0.07413540346508848,2.0589582032337803e-07
367241.9225939034,147106884053.4042,37.47211362318696,0.07561801993581192,2.0589507238830103e-07
374442.74460554856,147107156523.5049,38.20537139844761,0.07710063096754081,2.0589430967627215e-07
381643.56661719375,147107434273.35355,38.93854245064928,0.07858323645388748,2.0589353218926882e-07
388844.3886288389,147107717302.3197,39.671625116743016,0.08006583628847888,2.0589273992930675e-07
396045.21064048406,147108005609.76096,40.404617733933875,0.08154843036495668,2.0589193289843987e-07
403246.03265212924,147108299195.02292,41.137518639680934,0.08303101857697717,2.058911110987605e-07
410446.8546637744,147108598057.43918,41.87032617169724,0.0845136008182113,2.0589027453239918e-07
417647.67667541956,147108902196.3314,42.603038667949896,0.08599617698234464,2.0588942320152475e-07
424848.49868706474,147109211611.0092,43.33565446665996,0.0874787469630775,2.0588855710834433e-07
432049.32069870987,147109526300.77023,44.06817190630254,0.08896131065412474,2.0588767625510336e-07
439250.14271035505,147109846264.9002,44.800589325606694,0.09044386794921594,2.058867806440855e-07
