Complexity,Loss,Equation
1,9.810724e-6,"1.4093438e-6"
3,1.8326924e-8,"x0 * -0.0002957257"
5,2.7186886e-9,"(-3.97998 / x2) - -0.2660585"
6,2.038495e-9,"x0 * (-0.06626423 / square(x2))"
7,4.2469134e-13,"x0 * ((-0.0132904565 / x2) - -0.00059222756)"
8,6.41592e-20,"x0 / (square(x2) * (x2 / -0.99098706))"
9,6.3636685e-20,"x0 / (x2 * (x2 * (x2 / -0.99098706)))"
10,6.071251e-20,"x0 / ((x2 / -0.9909874) * (8.0878905e-5 + square(x2)))"
